Model_Type,Impact_Column,TP,FP,TN,FN
gpt-4o,Infrastructural impact,155,63,119,10
gpt-4o,Political impact,38,32,255,22
gpt-4o,Financial impact,78,62,188,19
gpt-4o,Ecological impact,33,54,239,21
gpt-4o,Agricultural impact,64,39,229,15
gpt-4o,Human health impact,93,46,186,22
meta-llama/Llama-3.1-8B-Instruct,Infrastructural impact,108,35,147,57
meta-llama/Llama-3.1-8B-Instruct,Political impact,52,145,142,8
meta-llama/Llama-3.1-8B-Instruct,Financial impact,81,115,135,16
meta-llama/Llama-3.1-8B-Instruct,Ecological impact,20,44,249,34
meta-llama/Llama-3.1-8B-Instruct,Agricultural impact,48,46,222,31
meta-llama/Llama-3.1-8B-Instruct,Human health impact,56,50,182,59
gpt-4,Infrastructural impact,143,74,108,22
gpt-4,Political impact,40,62,225,20
gpt-4,Financial impact,88,131,119,9
gpt-4,Ecological impact,21,36,257,33
gpt-4,Agricultural impact,54,47,221,25
gpt-4,Human health impact,85,70,162,30
Qwen/Qwen2.5-7B-Instruct,Infrastructural impact,116,48,134,49
Qwen/Qwen2.5-7B-Instruct,Political impact,24,56,231,36
Qwen/Qwen2.5-7B-Instruct,Financial impact,43,58,192,54
Qwen/Qwen2.5-7B-Instruct,Ecological impact,31,66,227,23
Qwen/Qwen2.5-7B-Instruct,Agricultural impact,31,44,224,48
Qwen/Qwen2.5-7B-Instruct,Human health impact,38,46,186,77
mistralai/Mixtral-8x7B-Instruct-v0.1,Infrastructural impact,112,33,149,53
mistralai/Mixtral-8x7B-Instruct-v0.1,Political impact,22,30,257,38
mistralai/Mixtral-8x7B-Instruct-v0.1,Financial impact,70,77,173,27
mistralai/Mixtral-8x7B-Instruct-v0.1,Ecological impact,15,13,280,39
mistralai/Mixtral-8x7B-Instruct-v0.1,Agricultural impact,30,27,241,49
mistralai/Mixtral-8x7B-Instruct-v0.1,Human health impact,55,51,181,60
gpt-3.5-turbo,Infrastructural impact,135,48,134,30
gpt-3.5-turbo,Political impact,26,39,248,34
gpt-3.5-turbo,Financial impact,39,48,202,58
gpt-3.5-turbo,Ecological impact,21,40,253,33
gpt-3.5-turbo,Agricultural impact,42,30,238,37
gpt-3.5-turbo,Human health impact,48,40,192,67
