Model_Type,Metric,Infrastructural impact,Political impact,Financial impact,Ecological impact,Agricultural impact,Human health impact
gpt-4,Precision,0.659,0.3922,0.4018,0.3684,0.5347,0.5484
gpt-4,Recall,0.8667,0.6667,0.9072,0.3889,0.6835,0.7391
gpt-4,F1,0.7487,0.4938,0.557,0.3784,0.6,0.6296
gpt-4,Accuracy,0.7233,0.7637,0.5965,0.8012,0.7925,0.7118
mistralai/Mixtral-8x7B-Instruct-v0.1,Precision,0.7708,0.4231,0.4726,0.5357,0.5263,0.5238
mistralai/Mixtral-8x7B-Instruct-v0.1,Recall,0.681,0.3667,0.7188,0.2778,0.3846,0.4783
mistralai/Mixtral-8x7B-Instruct-v0.1,F1,0.7231,0.3929,0.5702,0.3659,0.4444,0.5
mistralai/Mixtral-8x7B-Instruct-v0.1,Accuracy,0.7536,0.8029,0.6986,0.8493,0.7826,0.6812
meta-llama/Llama-3.1-8B-Instruct,Precision,0.7552,0.264,0.4133,0.3125,0.5106,0.5283
meta-llama/Llama-3.1-8B-Instruct,Recall,0.6545,0.8667,0.8351,0.3704,0.6076,0.487
meta-llama/Llama-3.1-8B-Instruct,F1,0.7013,0.4047,0.5529,0.339,0.5549,0.5068
meta-llama/Llama-3.1-8B-Instruct,Accuracy,0.7349,0.5591,0.6225,0.7752,0.7781,0.6859
gpt-4o,Precision,0.711,0.5429,0.5571,0.3793,0.6214,0.6691
gpt-4o,Recall,0.9394,0.6333,0.8041,0.6111,0.8101,0.8087
gpt-4o,F1,0.8094,0.5846,0.6582,0.4681,0.7033,0.7323
gpt-4o,Accuracy,0.7896,0.8444,0.7666,0.7839,0.8444,0.804
gpt-3.5-turbo,Precision,0.7377,0.4,0.4483,0.3443,0.5833,0.5455
gpt-3.5-turbo,Recall,0.8182,0.4333,0.4021,0.3889,0.5316,0.4174
gpt-3.5-turbo,F1,0.7759,0.416,0.4239,0.3652,0.5563,0.4729
gpt-3.5-turbo,Accuracy,0.7752,0.7896,0.6945,0.7896,0.8069,0.6916
Qwen/Qwen2.5-7B-Instruct,Precision,0.7073,0.3,0.4257,0.3196,0.4133,0.4524
Qwen/Qwen2.5-7B-Instruct,Recall,0.703,0.4,0.4433,0.5741,0.3924,0.3304
Qwen/Qwen2.5-7B-Instruct,F1,0.7052,0.3429,0.4343,0.4106,0.4026,0.3819
Qwen/Qwen2.5-7B-Instruct,Accuracy,0.7205,0.7349,0.6772,0.7435,0.7349,0.6455
mistralai/Mistral-7B-Instruct-v0.2,Precision,0.8028,0.2347,0.2969,0.3085,0.4348,0.633
mistralai/Mistral-7B-Instruct-v0.2,Recall,0.6909,0.8333,0.9794,0.537,0.7595,0.6
mistralai/Mistral-7B-Instruct-v0.2,F1,0.7427,0.3663,0.4556,0.3919,0.553,0.6161
mistralai/Mistral-7B-Instruct-v0.2,Accuracy,0.7723,0.5014,0.3458,0.7406,0.7205,0.7522
deepseek-chat,Precision,0.7487,0.6667,0.6,0.3913,0.6571,0.6607
deepseek-chat,Recall,0.903,0.3333,0.6186,0.3333,0.5823,0.6435
deepseek-chat,F1,0.8187,0.4444,0.6091,0.36,0.6174,0.652
deepseek-chat,Accuracy,0.8098,0.8559,0.7781,0.8156,0.8357,0.7723
